Product Name,Product Category,Variant SKU,Variant Name,Regular Price,B2C Regular Price,Stock,MinQty2 Price,MinQty5 Price,MinQty10 Price,Image Name,Needs Price
5-amino-1MQ,Research Peptides,5-AMINO-1MQ-10MG,10mg,86.25,86.25,200,56.06,43.13,34.50,,
Acetic Acid 1%,Research Peptides,ACETIC-ACID-1-3ML,3ml,,,100,,,,,YES
AOD-9604,Research Peptides,AOD-9604-10MG,10mg,86.25,86.25,200,56.06,43.13,34.50,AOD-9604-5MG.webp,
Ara-290,Research Peptides,ARA-290-10MG,10mg,73.75,73.75,50,47.94,36.88,29.50,,
B12,Research Peptides,B12-MG-ML-10ML-VIAL,mg/ml 10ml vial,43.75,43.75,200,28.44,21.88,17.50,,
Bac Water (Hospira),Research Peptides,BAC-WATER-HOSPIRA-30ML,30ml,,,40,,,,BW-H-BRAND.webp,YES
Bacteriostatic Water,Research Peptides,BACTERIOSTATIC-WATER-3ML,3ml,,,340,,,,BW-3ML.webp,YES
Bacteriostatic Water,Research Peptides,BACTERIOSTATIC-WATER-10ML,10ml,,,360,,,,BW-10ML.webp,YES
BPC + TB Blend,Research Peptides,BPC-TB-BLEND-10MG-5-5,10mg (5+5),60.00,60.00,30,39.00,34.38,24.00,BPC157-TB500-5-5MG.webp,
BPC + TB Blend,Research Peptides,BPC-TB-BLEND-20MG-10-10,20mg (10+10),98.75,98.75,230,64.19,49.38,39.50,BPC157-TB500-10-10MG.webp,
BPC-157,Research Peptides,BPC-157-10MG,10mg,60.00,60.00,160,39.00,30.00,24.00,BPC-157-10MG.webp,
Cagrilintide,Research Peptides,CAGRILINTIDE-10MG,10mg,123.75,123.75,100,80.44,61.88,49.50,,
CJC-1295 No DAC + Ipamorelin,Research Peptides,CJC-1295-NO-DAC-IPAMORELIN-10MG-5-5,10mg (5+5),73.75,73.75,130,47.94,36.88,29.50,CJC-IPAMO-NODAC-5-5MG.webp,
CJC-1295 No DAC + Ipamorelin,Research Peptides,CJC-1295-NO-DAC-IPAMORELIN-20MG-10-10,20mg (10+10),113.75,113.75,10,73.94,56.88,45.50,,
DSIP,Research Peptides,DSIP-10MG,10mg,56.25,56.25,100,36.56,28.13,22.50,,
Epithalon,Research Peptides,EPITHALON-10MG,10mg,43.75,43.75,100,28.44,21.88,17.50,EPI-10MG.webp,
GHK-Cu,Research Peptides,GHK-CU-50MG,50mg,36.25,36.25,30,23.56,18.13,14.50,GHK-CU-50MG.webp,
GHK-Cu,Research Peptides,GHK-CU-100MG,100mg,56.25,56.25,230,36.56,28.13,22.50,GHK-CU-100MG.webp,
GLOW Blend,Research Peptides,GLOW-BLEND-70MG,70mg,111.25,111.25,300,72.31,55.63,44.50,GLOW-70MG.webp,
Glutathione,Research Peptides,GLUTATHIONE-600MG,600mg,36.25,36.25,420,31.69,18.13,14.50,GLUTATHIONE-600MG.webp,
Glutathione,Research Peptides,GLUTATHIONE-1500MG,1500mg,68.75,68.75,440,44.69,34.38,27.50,GLUTATHIONE-1500MG.webp,
KLOW Blend,Research Peptides,KLOW-BLEND-80MG,80mg,136.25,136.25,220,88.56,68.13,54.50,KLOW-80MG.webp,
KPV,Research Peptides,KPV-10MG,10mg,61.25,61.25,70,39.81,30.63,24.50,KPV-10MG.webp,
MLT II,Research Peptides,MLT-II-10MG,10mg,43.75,43.75,20,28.44,21.88,17.50,MLTII-10MG.webp,
MOTS-c,Research Peptides,MOTS-C-20MG,20mg,79.59,79.59,100,51.73,39.79,31.84,,
MT-1 (Melanotan 1),Research Peptides,MT-1-MELANOTAN-1-10MG,10mg,43.75,43.75,50,20.31,15.63,17.50,,
MT-2 (Melanotan 2),Research Peptides,MT-2-MELANOTAN-2-10MG,10mg,43.75,43.75,100,28.44,21.88,17.50,,
NAD+,Research Peptides,NAD-500MG,500mg,55.00,55.00,160,35.75,27.50,22.00,NAD-500MG.webp,
NAD+,Research Peptides,NAD-1000MG,1000mg,106.25,106.25,330,69.06,53.13,42.50,,
PT-141,Research Peptides,PT-141-10MG,10mg,46.25,46.25,160,30.06,23.13,18.50,PT141-10MG.webp,
Ascendra 3-R,GLP-1 Receptor Agonists,ASCENDRA-3-R-5MG,5mg,,,10,,,,,YES
Ascendra 3-R,GLP-1 Receptor Agonists,ASCENDRA-3-R-10MG,10mg,73.13,73.13,240,47.54,36.56,29.25,ION3R-10MG.webp,
Ascendra 3-R,GLP-1 Receptor Agonists,ASCENDRA-3-R-20MG,20mg,124.94,124.94,450,81.21,62.48,49.98,ION3R-20MG.webp,
Ascendra 3-R,GLP-1 Receptor Agonists,ASCENDRA-3-R-50MG,50mg,236.25,236.25,20,153.56,118.13,94.50,ION3R-50MG.webp,
Ascendra 3-R,GLP-1 Receptor Agonists,ASCENDRA-3-R-60MG,60mg,273.75,273.75,230,177.94,136.88,109.50,ION3R-60MG.webp,
Selank,Research Peptides,SELANK-10MG,10mg,43.31,43.31,130,28.15,21.66,17.33,,
Ascendra 1-S,GLP-1 Receptor Agonists,ASCENDRA-1-S-5MG,5mg,48.75,48.75,50,31.69,24.38,19.50,,
Ascendra 1-S,GLP-1 Receptor Agonists,ASCENDRA-1-S-10MG,10mg,68.75,68.75,110,44.69,34.38,27.50,,
Ascendra 1-S,GLP-1 Receptor Agonists,ASCENDRA-1-S-20MG,20mg,86.25,86.25,120,56.06,43.13,34.50,,
Ascendra 1-S,GLP-1 Receptor Agonists,ASCENDRA-1-S-30MG,30mg,123.75,123.75,10,80.44,61.88,49.50,,
Semax,Research Peptides,SEMAX-10MG,10mg,41.13,41.13,330,26.74,20.56,16.45,SEMAX-10MG.webp,
Semax / Selank,Research Peptides,SEMAX-SELANK-20MG-10-10,20mg (10+10),111.25,111.25,20,72.31,55.63,44.50,SEMAX-SELANK-10-10MG.webp,
SS-31,Research Peptides,SS-31-50MG,50mg,173.75,173.75,200,112.94,86.88,69.50,,
TB-500,Research Peptides,TB-500-10MG,10mg,61.25,61.25,40,39.81,30.63,24.50,TB500-10MG.webp,
Tesamorelin,Research Peptides,TESAMORELIN-10MG,10mg,87.44,87.44,130,56.84,43.73,34.98,TESA-10MG.webp,
Tesamorelin / Ipamorelin,Research Peptides,TESAMORELIN-IPAMORELIN-13MG-10-3,13mg (10+3),123.75,123.75,20,80.44,61.88,49.50,TESA-IPAMO-10-3MG.webp,
Thymosin Alpha-1,Research Peptides,THYMOSIN-ALPHA-1-10MG,10mg,81.25,81.25,70,52.81,40.63,32.50,THYMOSIN-A1-10MG.webp,
Ascendra 2-T,GLP-1 Receptor Agonists,ASCENDRA-2-T-5MG,5mg,30.63,30.63,410,19.91,15.31,12.25,,
Ascendra 2-T,GLP-1 Receptor Agonists,ASCENDRA-2-T-10MG,10mg,61.25,61.25,80,39.81,30.63,24.50,ION2T-10MG.webp,
Ascendra 2-T,GLP-1 Receptor Agonists,ASCENDRA-2-T-20MG,20mg,106.25,106.25,300,69.06,53.13,42.50,,
Ascendra 2-T,GLP-1 Receptor Agonists,ASCENDRA-2-T-30MG,30mg,,,20,,,,,YES
Ascendra 2-T,GLP-1 Receptor Agonists,ASCENDRA-2-T-40MG,40mg,161.25,161.25,20,104.81,80.63,64.50,ION2T-40MG.webp,
Ascendra 2-T,GLP-1 Receptor Agonists,ASCENDRA-2-T-60MG,60mg,186.25,186.25,230,121.06,93.13,74.50,ION2T-60MG.webp,
